pat_date	pat_userid	pat_num_actions
2012-10-23	346148	1
2012-10-23	492056	8
2012-10-23	549980	12
2012-10-23	561016	7
2012-10-23	991331	2
2012-10-23	1473712	17
2012-10-23	3268385	7
2012-10-23	3855926	2
2012-10-23	3957791	1
2012-10-23	4850051	3
2012-10-23	5498907	5
2012-10-23	8425369	2
2012-10-23	9951654	20
2012-10-23	10440891	4
2012-10-23	10539714	5
2012-10-23	11886648	4
2012-10-23	12751068	3
2012-10-23	14596827	13
2012-10-23	15243143	12
2012-10-23	15907342	8
2012-10-23	16255965	28
2012-10-23	16608544	86
2012-10-23	16682238	10
2012-10-23	16710476	2
2012-10-23	16881459	13
2012-10-24	205121	8
2012-10-24	262675	8
2012-10-24	283225	2
2012-10-24	346148	6
2012-10-24	549980	2
2012-10-24	1096706	2
2012-10-24	1676211	2
2012-10-24	1904640	15
2012-10-24	2557327	9
2012-10-24	3080493	6
2012-10-24	4381155	5
2012-10-24	4850051	6
2012-10-24	5498907	2
2012-10-24	6804626	39
2012-10-24	8806805	3
2012-10-24	9344046	5
2012-10-24	9951654	6
2012-10-24	10539714	15
2012-10-24	10718199	16
2012-10-24	11393832	12
2012-10-24	11886648	8
2012-10-24	12751068	4
2012-10-24	12889453	2
2012-10-24	13224898	11
2012-10-24	14596827	2
2012-10-24	14727197	2
2012-10-24	15243143	31
2012-10-24	15425179	3
2012-10-24	15907342	2
2012-10-24	16132726	3
2012-10-24	16255965	62
2012-10-24	16608544	55
2012-10-24	17283576	2
2012-10-24	17455969	5
2012-10-24	17565703	1
2012-10-24	17610858	4
2012-10-24	17652082	8
2012-10-25	79	33
2012-10-25	126457	2
2012-10-25	194203	1
2012-10-25	205121	49
2012-10-25	283225	2
2012-10-25	346148	1
2012-10-25	549980	22
2012-10-25	561016	8
2012-10-25	1046972	2
2012-10-25	1219841	10
2012-10-25	1378652	12
2012-10-25	1759632	1
2012-10-25	2051880	1
2012-10-25	2290552	1
2012-10-25	2512606	43
2012-10-25	3167251	10
2012-10-25	3855926	1
2012-10-25	4850051	7
2012-10-25	4906524	66
2012-10-25	5311630	28
2012-10-25	5498907	4
2012-10-25	6013591	2
2012-10-25	9951654	18
2012-10-25	10101798	8
2012-10-25	10539714	2
2012-10-25	10718199	3
2012-10-25	11886648	2
2012-10-25	11916782	8
2012-10-25	13224898	15
2012-10-25	14596827	1
2012-10-25	15243143	34
2012-10-25	15890753	3
2012-10-25	16255965	12
2012-10-25	16349307	4
2012-10-25	16608544	68
2012-10-25	16682238	80
2012-10-25	16881459	18
2012-10-25	17175611	2
2012-10-25	17455969	3
2012-10-25	17652082	1
2012-10-25	17692328	13
2012-10-26	79	4
2012-10-26	179697	13
2012-10-26	205121	77
2012-10-26	262675	1
2012-10-26	346148	1
2012-10-26	381429	1
2012-10-26	541143	8
2012-10-26	1378652	14
2012-10-26	1676211	12
2012-10-26	1904640	1
2012-10-26	2051880	1
2012-10-26	2512606	2
2012-10-26	3167251	2
2012-10-26	3957791	1
2012-10-26	4850051	7
2012-10-26	4906524	29
2012-10-26	9109237	2
2012-10-26	12711397	2
2012-10-26	12889453	1
2012-10-26	13029282	10
2012-10-26	14159121	6
2012-10-26	14596827	3
2012-10-26	15243143	9
2012-10-26	16255965	21
2012-10-26	16310271	2
2012-10-26	16608544	83
2012-10-26	16682238	70
2012-10-26	17042426	2
2012-10-26	17175611	11
2012-10-26	17283576	2
2012-10-26	17692328	23
2012-10-27	79	14
2012-10-27	21834	26
2012-10-27	82835	2
2012-10-27	126457	1
2012-10-27	179697	2
2012-10-27	207616	39
2012-10-27	254396	3
2012-10-27	262675	5
2012-10-27	1540109	9
2012-10-27	1676211	5
2012-10-27	2512606	6
2012-10-27	4174864	1
2012-10-27	4850051	15
2012-10-27	6013591	4
2012-10-27	6804626	51
2012-10-27	9951654	25
2012-10-27	10426732	4
2012-10-27	10718199	2
2012-10-27	11916782	2
2012-10-27	14086873	1
2012-10-27	14146562	19
2012-10-27	14159121	16
2012-10-27	14596827	8
2012-10-27	14683866	61
2012-10-27	15143208	3
2012-10-27	15425179	2
2012-10-27	15799856	2
2012-10-27	15890753	4
2012-10-27	16608544	4
2012-10-27	16881459	24
2012-10-27	17175611	8
2012-10-28	79	14
2012-10-28	8395	8
2012-10-28	207616	8
2012-10-28	262675	6
2012-10-28	920547	3
2012-10-28	1046972	1
2012-10-28	1378652	6
2012-10-28	1477111	9
2012-10-28	2343473	4
2012-10-28	2512606	2
2012-10-28	3080493	6
2012-10-28	3508298	4
2012-10-28	3855926	2
2012-10-28	4174864	2
2012-10-28	4849142	6
2012-10-28	4850051	5
2012-10-28	4906524	120
2012-10-28	7213284	5
2012-10-28	7304264	10
2012-10-28	8160092	1
2012-10-28	9109237	9
2012-10-28	9951654	31
2012-10-28	12332260	1
2012-10-28	12424937	6
2012-10-28	14159121	6
2012-10-28	14596827	14
2012-10-28	14683866	16
2012-10-28	14911792	8
2012-10-28	15571685	38
2012-10-28	15734428	4
2012-10-28	15741008	12
2012-10-28	15890753	13
2012-10-28	16682238	106
2012-10-28	16881459	1
2012-10-28	17175611	2
2012-10-28	17652082	1
2012-10-28	17663099	1
2012-10-29	79	12
2012-10-29	21834	28
2012-10-29	62058	1
2012-10-29	207616	1
2012-10-29	244263	49
2012-10-29	398051	16
2012-10-29	492056	3
2012-10-29	920547	1
2012-10-29	1378652	6
2012-10-29	1414762	14
2012-10-29	1904640	11
2012-10-29	4174864	7
2012-10-29	4849142	4
2012-10-29	4850051	9
2012-10-29	6180217	2
2012-10-29	6239596	1
2012-10-29	6804626	55
2012-10-29	6959733	6
2012-10-29	7304264	4
2012-10-29	8144267	5
2012-10-29	9109237	2
2012-10-29	11393832	20
2012-10-29	13360569	2
2012-10-29	14159121	6
2012-10-29	14596827	3
2012-10-29	14627597	3
2012-10-29	14727197	4
2012-10-29	15143208	2
2012-10-29	15741008	35
2012-10-29	15996799	16
2012-10-29	16132726	1
2012-10-29	16163060	53
2012-10-29	16255965	15
2012-10-29	16485687	1
2012-10-29	16608544	11
2012-10-29	16682238	22
2012-10-29	16881459	2
2012-10-29	16958448	3
2012-10-29	17175611	8
2012-10-30	79	2
2012-10-30	167403	12
2012-10-30	207616	140
2012-10-30	262675	9
2012-10-30	297315	3
2012-10-30	398051	28
2012-10-30	563447	1
2012-10-30	2051880	2
2012-10-30	3855926	1
2012-10-30	4849142	7
2012-10-30	4850051	13
2012-10-30	4906524	48
2012-10-30	5347098	16
